"portfolio_name","code","name","in_date","in_weight","today_date","today_weight","period_ret","Date","close"
"智慧圖形辨識投資策略","3701","NA",20150127,0.001,20150305,0.0009838513,1.11402e-05,20150203,18.8715
"智慧圖形辨識投資策略","2330","NA",20150127,0.001,20150305,0.0010028135,0.0002040893,20150203,119.9883
"智慧圖形辨識投資策略","5604","中連貨",20150127,0.001,20150305,0.0009603056,-0.000228448,20150204,28.3484
"智慧圖形辨識投資策略","1454","NA",20150127,0.001,20150305,0.0010668614,0.0008558063,20150204,6.8193
"智慧圖形辨識投資策略","6248","沛波",20150127,0.001,20150305,0.0009310326,-0.000526313,20150204,27.8079
"智慧圖形辨識投資策略","2882","NA",20150127,0.001,20150305,0.0009975668,0.0001507016,20150204,37.1527
"智慧圖形辨識投資策略","6291","沛亨",20150127,0.001,20150305,0.0011033965,0.0012275679,20150204,18.1436
"智慧圖形辨識投資策略","1326","NA",20150127,0.001,20150305,0.0009757373,-7.1423e-05,20150204,57.8114
"智慧圖形辨識投資策略","8084","巨虹",20150127,0.001,20150305,0.0010062487,0.0002390438,20150204,22.7
"智慧圖形辨識投資策略","5520","力泰",20150127,0.001,20150305,0.0009721859,-0.00010756,20150204,23.9456
"智慧圖形辨識投資策略","3701","NA",20150127,0.001,20150305,0.0009838513,1.11402e-05,20150204,18.8715
"智慧圖形辨識投資策略","2330","NA",20150127,0.001,20150305,0.0010028135,0.0002040893,20150204,121.2339
"智慧圖形辨識投資策略","5604","中連貨",20150127,0.001,20150305,0.0009603056,-0.000228448,20150205,28.3484
"智慧圖形辨識投資策略","1454","NA",20150127,0.001,20150305,0.0010668614,0.0008558063,20150205,6.8277
"智慧圖形辨識投資策略","6248","沛波",20150127,0.001,20150305,0.0009310326,-0.000526313,20150205,27.5596
"智慧圖形辨識投資策略","2882","NA",20150127,0.001,20150305,0.0009975668,0.0001507016,20150205,37.2327
"智慧圖形辨識投資策略","6291","沛亨",20150127,0.001,20150305,0.0011033965,0.0012275679,20150205,18.1436
"智慧圖形辨識投資策略","1326","NA",20150127,0.001,20150305,0.0009757373,-7.1423e-05,20150205,57.7323
"智慧圖形辨識投資策略","8084","巨虹",20150127,0.001,20150305,0.0010062487,0.0002390438,20150205,23.7
"智慧圖形辨識投資策略","5520","力泰",20150127,0.001,20150305,0.0009721859,-0.00010756,20150205,23.8599
"智慧圖形辨識投資策略","3701","NA",20150127,0.001,20150305,0.0009838513,1.11402e-05,20150205,18.8715
"智慧圖形辨識投資策略","2330","NA",20150127,0.001,20150305,0.0010028135,0.0002040893,20150205,120.8187
"智慧圖形辨識投資策略","5604","中連貨",20150127,0.001,20150305,0.0009603056,-0.000228448,20150206,27.9221
"智慧圖形辨識投資策略","1454","NA",20150127,0.001,20150305,0.0010668614,0.0008558063,20150206,6.836
"智慧圖形辨識投資策略","6248","沛波",20150127,0.001,20150305,0.0009310326,-0.000526313,20150206,26.0202
"智慧圖形辨識投資策略","2882","NA",20150127,0.001,20150305,0.0009975668,0.0001507016,20150206,37.0326
"智慧圖形辨識投資策略","6291","沛亨",20150127,0.001,20150305,0.0011033965,0.0012275679,20150206,19.405
"智慧圖形辨識投資策略","1326","NA",20150127,0.001,20150305,0.0009757373,-7.1423e-05,20150206,57.2578
"智慧圖形辨識投資策略","8084","巨虹",20150127,0.001,20150305,0.0010062487,0.0002390438,20150206,23.3
"智慧圖形辨識投資策略","5520","力泰",20150127,0.001,20150305,0.0009721859,-0.00010756,20150206,23.8171
"智慧圖形辨識投資策略","3701","NA",20150127,0.001,20150305,0.0009838513,1.11402e-05,20150206,18.8715
"智慧圖形辨識投資策略","2330","NA",20150127,0.001,20150305,0.0010028135,0.0002040893,20150206,118.7428
"智慧圖形辨識投資策略","5604","中連貨",20150127,0.001,20150305,0.0009603056,-0.000228448,20150209,27.709
"智慧圖形辨識投資策略","1454","NA",20150127,0.001,20150305,0.0010668614,0.0008558063,20150209,6.8527
"智慧圖形辨識投資策略","6248","沛波",20150127,0.001,20150305,0.0009310326,-0.000526313,20150209,26.0202
"智慧圖形辨識投資策略","2882","NA",20150127,0.001,20150305,0.0009975668,0.0001507016,20150209,37.0326
"智慧圖形辨識投資策略","6291","沛亨",20150127,0.001,20150305,0.0011033965,0.0012275679,20150209,19.405
"智慧圖形辨識投資策略","1326","NA",20150127,0.001,20150305,0.0009757373,-7.1423e-05,20150209,56.8624
"智慧圖形辨識投資策略","8084","巨虹",20150127,0.001,20150305,0.0010062487,0.0002390438,20150209,24.9
"智慧圖形辨識投資策略","5520","力泰",20150127,0.001,20150305,0.0009721859,-0.00010756,20150209,23.9028
"智慧圖形辨識投資策略","3701","NA",20150127,0.001,20150305,0.0009838513,1.11402e-05,20150209,18.8715
"智慧圖形辨識投資策略","2330","NA",20150127,0.001,20150305,0.0010028135,0.0002040893,20150209,117.9124
"智慧圖形辨識投資策略","5604","中連貨",20150127,0.001,20150305,0.0009603056,-0.000228448,20150210,27.6379
"智慧圖形辨識投資策略","1454","NA",20150127,0.001,20150305,0.0010668614,0.0008558063,20150210,6.8694
"智慧圖形辨識投資策略","6248","沛波",20150127,0.001,20150305,0.0009310326,-0.000526313,20150210,27.6589
"智慧圖形辨識投資策略","2882","NA",20150127,0.001,20150305,0.0009975668,0.0001507016,20150210,37.6331
"智慧圖形辨識投資策略","6291","沛亨",20150127,0.001,20150305,0.0011033965,0.0012275679,20150210,18.0951
"智慧圖形辨識投資策略","1326","NA",20150127,0.001,20150305,0.0009757373,-7.1423e-05,20150210,55.9134
"智慧圖形辨識投資策略","8084","巨虹",20150127,0.001,20150305,0.0010062487,0.0002390438,20150210,25.7
"智慧圖形辨識投資策略","5520","力泰",20150127,0.001,20150305,0.0009721859,-0.00010756,20150210,23.9028
"智慧圖形辨識投資策略","3701","NA",20150127,0.001,20150305,0.0009838513,1.11402e-05,20150210,18.8715
"智慧圖形辨識投資策略","2330","NA",20150127,0.001,20150305,0.0010028135,0.0002040893,20150210,118.3276
"智慧圖形辨識投資策略","5604","中連貨",20150127,0.001,20150305,0.0009603056,-0.000228448,20150211,27.6735
"智慧圖形辨識投資策略","1454","NA",20150127,0.001,20150305,0.0010668614,0.0008558063,20150211,6.8527
"智慧圖形辨識投資策略","6248","沛波",20150127,0.001,20150305,0.0009310326,-0.000526313,20150211,27.6589
"智慧圖形辨識投資策略","2882","NA",20150127,0.001,20150305,0.0009975668,0.0001507016,20150211,37.9133
"智慧圖形辨識投資策略","6291","沛亨",20150127,0.001,20150305,0.0011033965,0.0012275679,20150211,19.1624
"智慧圖形辨識投資策略","1326","NA",20150127,0.001,20150305,0.0009757373,-7.1423e-05,20150211,56.467
"智慧圖形辨識投資策略","8084","巨虹",20150127,0.001,20150305,0.0010062487,0.0002390438,20150211,26.3
"智慧圖形辨識投資策略","5520","力泰",20150127,0.001,20150305,0.0009721859,-0.00010756,20150211,23.9028
"智慧圖形辨識投資策略","3701","NA",20150127,0.001,20150305,0.0009838513,1.11402e-05,20150211,18.8715
"智慧圖形辨識投資策略","2330","NA",20150127,0.001,20150305,0.0010028135,0.0002040893,20150211,122.8946
"智慧圖形辨識投資策略","5604","中連貨",20150127,0.001,20150305,0.0009603056,-0.000228448,20150212,27.709
"智慧圖形辨識投資策略","1454","NA",20150127,0.001,20150305,0.0010668614,0.0008558063,20150212,6.8193
"智慧圖形辨識投資策略","6248","沛波",20150127,0.001,20150305,0.0009310326,-0.000526313,20150212,27.6589
"智慧圖形辨識投資策略","2882","NA",20150127,0.001,20150305,0.0009975668,0.0001507016,20150212,38.1135
"智慧圖形辨識投資策略","6291","沛亨",20150127,0.001,20150305,0.0011033965,0.0012275679,20150212,20.4722
"智慧圖形辨識投資策略","1326","NA",20150127,0.001,20150305,0.0009757373,-7.1423e-05,20150212,56.1506
"智慧圖形辨識投資策略","8084","巨虹",20150127,0.001,20150305,0.0010062487,0.0002390438,20150212,25.7
"智慧圖形辨識投資策略","5520","力泰",20150127,0.001,20150305,0.0009721859,-0.00010756,20150212,23.9028
"智慧圖形辨識投資策略","3701","NA",20150127,0.001,20150305,0.0009838513,1.11402e-05,20150212,18.8715
"智慧圖形辨識投資策略","2330","NA",20150127,0.001,20150305,0.0010028135,0.0002040893,20150212,123.3098
"智慧圖形辨識投資策略","5604","中連貨",20150127,0.001,20150305,0.0009603056,-0.000228448,20150213,28.0642
"智慧圖形辨識投資策略","1454","NA",20150127,0.001,20150305,0.0010668614,0.0008558063,20150213,6.8193
"智慧圖形辨識投資策略","6248","沛波",20150127,0.001,20150305,0.0009310326,-0.000526313,20150213,27.7086
"智慧圖形辨識投資策略","2882","NA",20150127,0.001,20150305,0.0009975668,0.0001507016,20150213,37.9534
"智慧圖形辨識投資策略","6291","沛亨",20150127,0.001,20150305,0.0011033965,0.0012275679,20150213,20.4237
"智慧圖形辨識投資策略","1326","NA",20150127,0.001,20150305,0.0009757373,-7.1423e-05,20150213,56.2297
"智慧圖形辨識投資策略","8084","巨虹",20150127,0.001,20150305,0.0010062487,0.0002390438,20150213,25.65
"智慧圖形辨識投資策略","5520","力泰",20150127,0.001,20150305,0.0009721859,-0.00010756,20150213,23.9884
"智慧圖形辨識投資策略","3701","NA",20150127,0.001,20150305,0.0009838513,1.11402e-05,20150213,18.8715
"智慧圖形辨識投資策略","2330","NA",20150127,0.001,20150305,0.0010028135,0.0002040893,20150213,123.3098
"智慧圖形辨識投資策略","5604","中連貨",20150127,0.001,20150305,0.0009603056,-0.000228448,20150224,28.0642
"智慧圖形辨識投資策略","1454","NA",20150127,0.001,20150305,0.0010668614,0.0008558063,20150224,6.8277
"智慧圖形辨識投資策略","6248","沛波",20150127,0.001,20150305,0.0009310326,-0.000526313,20150224,27.7086
"智慧圖形辨識投資策略","2882","NA",20150127,0.001,20150305,0.0009975668,0.0001507016,20150224,38.4338
"智慧圖形辨識投資策略","6291","沛亨",20150127,0.001,20150305,0.0011033965,0.0012275679,20150224,20.4237
"智慧圖形辨識投資策略","1326","NA",20150127,0.001,20150305,0.0009757373,-7.1423e-05,20150224,56.3879
"智慧圖形辨識投資策略","8084","巨虹",20150127,0.001,20150305,0.0010062487,0.0002390438,20150224,25.9
"智慧圖形辨識投資策略","5520","力泰",20150127,0.001,20150305,0.0009721859,-0.00010756,20150224,23.9884
"智慧圖形辨識投資策略","3701","NA",20150127,0.001,20150305,0.0009838513,1.11402e-05,20150224,18.8715
"智慧圖形辨識投資策略","2330","NA",20150127,0.001,20150305,0.0010028135,0.0002040893,20150224,125.3857
"智慧圖形辨識投資策略","5604","中連貨",20150127,0.001,20150305,0.0009603056,-0.000228448,20150225,28.0642
"智慧圖形辨識投資策略","1454","NA",20150127,0.001,20150305,0.0010668614,0.0008558063,20150225,6.886
"智慧圖形辨識投資策略","6248","沛波",20150127,0.001,20150305,0.0009310326,-0.000526313,20150225,27.6092
"智慧圖形辨識投資策略","2882","NA",20150127,0.001,20150305,0.0009975668,0.0001507016,20150225,38.5939
"智慧圖形辨識投資策略","6291","沛亨",20150127,0.001,20150305,0.0011033965,0.0012275679,20150225,20.2782
"智慧圖形辨識投資策略","1326","NA",20150127,0.001,20150305,0.0009757373,-7.1423e-05,20150225,56.467
"智慧圖形辨識投資策略","8084","巨虹",20150127,0.001,20150305,0.0010062487,0.0002390438,20150225,26
"智慧圖形辨識投資策略","5520","力泰",20150127,0.001,20150305,0.0009721859,-0.00010756,20150225,23.9884
"智慧圖形辨識投資策略","3701","NA",20150127,0.001,20150305,0.0009838513,1.11402e-05,20150225,18.8715
"智慧圖形辨識投資策略","2330","NA",20150127,0.001,20150305,0.0010028135,0.0002040893,20150225,128.292
"智慧圖形辨識投資策略","5604","中連貨",20150127,0.001,20150305,0.0009603056,-0.000228448,20150226,27.8511
"智慧圖形辨識投資策略","1454","NA",20150127,0.001,20150305,0.0010668614,0.0008558063,20150226,6.936
"智慧圖形辨識投資策略","6248","沛波",20150127,0.001,20150305,0.0009310326,-0.000526313,20150226,27.6092
"智慧圖形辨識投資策略","2882","NA",20150127,0.001,20150305,0.0009975668,0.0001507016,20150226,38.2737
"智慧圖形辨識投資策略","6291","沛亨",20150127,0.001,20150305,0.0011033965,0.0012275679,20150226,20.2297
"智慧圖形辨識投資策略","1326","NA",20150127,0.001,20150305,0.0009757373,-7.1423e-05,20150226,55.6761
"智慧圖形辨識投資策略","8084","巨虹",20150127,0.001,20150305,0.0010062487,0.0002390438,20150226,26
"智慧圖形辨識投資策略","5520","力泰",20150127,0.001,20150305,0.0009721859,-0.00010756,20150226,23.9884
"智慧圖形辨識投資策略","3701","NA",20150127,0.001,20150305,0.0009838513,1.11402e-05,20150226,18.8715
"智慧圖形辨識投資策略","2330","NA",20150127,0.001,20150305,0.0010028135,0.0002040893,20150226,124.9705
"智慧圖形辨識投資策略","5604","中連貨",20150127,0.001,20150305,0.0009603056,-0.000228448,20150302,27.709
